-[ RECORD 1 ]---------------------------------------------------------------------------------------------------------------------------------------------------------------------
review_id  | 3
email      | bgarcia@jones-ross.info
-[ RECORD 9 ]---------------------------------------------------------------------------------------------------------------------------------------------------------------------
review_id  | 22
movie_id   | 1
user_id    | 12
title      | Source fast work tell those beautiful first experience.
content    | Side indicate adult with ago wind. Cover particular especially. Attack class majority down share himself rule.
rating     | 46.70
created_at | 2025-03-08 22:08:07.297499+00
updated_at | 2025-03-08 22:08:07.297499+00
user_id    | 12
username   | coffeytyler
email      | alvarezbarbara@yahoo.com
-[ RECORD 10 ]--------------------------------------------------------------------------------------------------------------------------------------------------------------------
review_id  | 29
movie_id   | 1
user_id    | 13
title      | Thought arm today thus.
content    | Modern management analysis although about sport majority.
rating     | 71.22
created_at | 2025-03-08 22:08:07.297499+00
updated_at | 2025-03-08 22:08:07.297499+00
user_id    | 13
username   | adam26
email      | lmcpherson@walker-wood.com
-[ RECORD 11 ]--------------------------------------------------------------------------------------------------------------------------------------------------------------------
review_id  | 32
movie_id   | 1
user_id    | 18
title      | Environmental fish security possible.
content    | North Democrat appear you feel. Body and office center agreement drive indicate. Edge continue knowledge dog time seek blood field.
rating     | 72.15
created_at | 2025-03-08 22:08:07.297499+00
updated_at | 2025-03-08 22:08:07.297499+00
user_id    | 18
username   | schwartzlisa
email      | tpowers@hotmail.com
-[ RECORD 12 ]--------------------------------------------------------------------------------------------------------------------------------------------------------------------
review_id  | 38
movie_id   | 1
user_id    | 7
title      | Event each identify use building ready toward.
content    | Fly mother anyone effort lot. Low position shoulder concern important report.
rating     | 79.32
created_at | 2025-03-08 22:08:07.297499+00
updated_at | 2025-03-08 22:08:07.297499+00
user_id    | 7
username   | brownshirley
email      | steven28@shepherd-turner.info
-[ RECORD 13 ]--------------------------------------------------------------------------------------------------------------------------------------------------------------------
review_id  | 44
movie_id   | 1
user_id    | 3
title      | Staff effort natural only.
content    | Produce day try body together security strong. Cold investment baby only message yourself. Score stop significant even only she.
rating     | 13.65
created_at | 2025-03-08 22:08:07.297499+00
updated_at | 2025-03-08 22:08:07.297499+00
user_id    | 3
username   | clinechristopher
email      | crosschristopher@fox.org
-[ RECORD 14 ]--------------------------------------------------------------------------------------------------------------------------------------------------------------------
review_id  | 45
movie_id   | 1
user_id    | 10
title      | Serious program often detail.
content    | Here save season along up suffer. Evidence interesting travel trial. Then price course somebody box personal.
rating     | 59.72
created_at | 2025-03-08 22:08:07.297499+00
updated_at | 2025-03-08 22:08:07.297499+00
user_id    | 10
username   | orussell
email      | smithmeagan@yahoo.com
-[ RECORD 15 ]--------------------------------------------------------------------------------------------------------------------------------------------------------------------
review_id  | 46
movie_id   | 1
user_id    | 17
title      | Particularly try can particular interesting.
content    | Responsibility special camera floor let experience ahead. Star firm including interesting sea.
rating     | 73.13
created_at | 2025-03-08 22:08:07.297499+00
updated_at | 2025-03-08 22:08:07.297499+00
user_id    | 17
username   | brittanybailey
email      | shawnporter@yahoo.com
-[ RECORD 16 ]--------------------------------------------------------------------------------------------------------------------------------------------------------------------
review_id  | 48
movie_id   | 1
user_id    | 13
title      | Fall song exist improve popular.
content    | Pick four bill return approach. Song marriage chance image level.
rating     | 0.51
created_at | 2025-03-08 22:08:07.297499+00
updated_at | 2025-03-08 22:08:07.297499+00
user_id    | 13
username   | adam26
email      | lmcpherson@walker-wood.com
-[ RECORD 17 ]--------------------------------------------------------------------------------------------------------------------------------------------------------------------
review_id  | 51
movie_id   | 1
user_id    | 3
title      | Great Movie!
content    | I really enjoyed the cinematography and the story.
rating     | 85.50
created_at | 2025-03-08 22:08:07.320879+00
updated_at | 2025-03-08 22:08:07.320879+00
user_id    | 3
username   | clinechristopher
email      | crosschristopher@fox.org
